timestamp;buchstabe
0;Return
957;Space
958;Space
1337;Space
1337;Space
1502;Space
1502;Space
1668;Space
1668;Space
1827;Space
1827;Space
1989;Space
1989;Space
2169;Space
2169;Space
2323;Space
2323;Space
2471;Space
2471;Space
2612;Space
2612;Space
2757;Space
2757;Space
3024;Space
3024;Space
3307;G
3381;F
3390;S
3436;D
3464;F
3498;F
3518;G
3582;D
3692;G
3710;U
3721;F
3731;D
3784;N
4103;Space
4103;Space
4273;Space
4273;Space
4538;Space
4538;Space
4676;S
4701;D
4778;F
4879;D
4889;S
5143;Space
5143;Space
5290;Space
5290;Space
5729;Back
5907;Back
6422;Space
6422;Space
6561;Space
6561;Space
7050;Back
7207;Back
7357;Back
7520;Back
7638;Back
7816;Space
7816;Space
7980;Space
7980;Space
9160;Return
9329;Return
9474;Return
9612;Return
9757;Return
